Loyalty#,누적가치,Customer Name,alert
100018.0,7919.2,Mina Smida,no
100055.0,39769.56,Sadie Straseskie,no
100102.0,2887.74,Rigoberto Palacio,no
100119.0,5146.9,Rheba Stonum,no
100124.0,2248.45,Soo Schier,no
100140.0,2838.07,Nakesha Klaass,no
100171.0,4636.55,Guillermina Tradup,no
100209.0,4426.38,Concepcion Monteith,no
100210.0,11154.68,Olen Delrio,no
100214.0,4170.57,Loren Juenemann,no
100241.0,10820.0,Melania Mcgarraugh,no
100272.0,6622.05,Siobhan Lander,no
100301.0,48356.96,Ian Hassenfritz,no
100305.0,10179.72,Samual Metos,no
100314.0,16272.74,Alline Colbert,no
100334.0,6393.87,Reyes Thady,no
100337.0,5256.92,Vanita Scotti,no
100339.0,8845.76,Zenia Weidert,no
100346.0,17223.07,Carlena Seipp,no
100350.0,5799.06,Lula Darlington,no
100361.0,6925.18,Nyla Hawn,no
100364.0,10287.76,Cyndy Uva,no
100380.0,2465.62,Brandee Yorn,no
100389.0,7729.38,Rosann Vandyk,no
100394.0,2361.74,Ferne Woytowich,no
100428.0,5845.43,Clelia Wright,no
100459.0,5635.75,Sheila Duell,no
100479.0,8364.5,Malka Hoheisel,no
100498.0,9102.12,Lisbeth Braff,no
100504.0,8807.61,Linette Theunissen,no
100513.0,14316.85,Pedro Cosico,no
100518.0,11599.5,Merideth Azuma,no
100522.0,4566.38,Lurlene Cordas,no
100539.0,6521.37,Andreas Fitterer,no
100550.0,7861.8,Franklin Buffum,no
100554.0,24261.02,Kenneth Hudok,no
100585.0,14668.66,Florrie Pachew,no
100588.0,8652.65,Bruce Ferentz,no
100590.0,34090.04,Lawanda Tollefsrud,no
100604.0,6608.17,Marva Wildes,no
100616.0,61850.19,Melodi Choate,yes
100635.0,8112.32,Irma Wallen,no
100642.0,9785.26,Charise Breckenridge,no
100644.0,4458.11,Marya Swonke,no
100646.0,8714.130000000001,Haley Gollob,no
100654.0,4472.33,Annie Zubrzycki,no
100659.0,16667.93,Linn Leukuma,no
100669.0,7275.89,Larraine Ogborn,no
100681.0,8797.83,Adelia Jakovac,no
100716.0,8622.84,Glory Slogeris,no
100727.0,3873.65,Rachel Raso,no
100737.0,25573.34,Fabian Teranishi,no
100753.0,2534.31,Jeannie Bruin,no
100811.0,5342.34,Ethelyn Dandridge,no
100816.0,6273.91,Jacquline Lemucchi,no
100823.0,122269.36,Keturah Haas,yes
100835.0,17027.4,Lorretta Gainous,no
100853.0,10153.89,Lindsy Hennecke,no
100859.0,2487.65,Iola Ellerkamp,no
100876.0,10897.12,Kiara Gamero,no
100881.0,15272.8,Renay Badura,no
100883.0,3561.04,Wai Tetley,no
100890.0,8007.4,Gertha Revay,no
100895.0,11514.88,Jesus Kemper,no
100922.0,10302.9,Lola Mir,no
100937.0,4835.56,Maximina Corwin,no
100975.0,12521.42,Claudie Sourwine,no
