Loyalty#,누적가치,Customer Name,alert,Country,Province or State,City
101544.0,64839.92,Travis Hutching,yes,Canada,Quebec,Montreal
106936.0,57520.5,Sarah Spraque,yes,Canada,Ontario,Kingston
113779.0,76920.72,Eura Gilio,yes,Canada,Quebec,Tremblant
113904.0,52907.88,Susanne Ladewig,yes,Canada,Ontario,Kingston
115852.0,81377.06,Shanae Altomari,yes,Canada,Ontario,Ottawa
149841.0,98593.2,Mao Beckom,yes,Canada,Ontario,Toronto
149993.0,52269.82,Eleni Pescatore,yes,Canada,Quebec,Tremblant
159275.0,71710.03,Marina Nieder,yes,Canada,Quebec,Montreal
160203.0,54393.56999999999,Suzi Blackington,yes,Canada,British Columbia,Dawson Creek
160905.0,51163.22,Elza Soliday,yes,Canada,British Columbia,Vancouver
163405.0,121112.38,Louvenia Henifin,yes,Canada,Quebec,Hull
166846.0,56845.05,Chieko Bechard,yes,Canada,British Columbia,Vancouver
168290.0,115337.58,Lanita Goldsmith,yes,Canada,Ontario,Toronto
169270.0,52607.15,Tonisha Krail,yes,Canada,Alberta,Banff
173446.0,58207.13,Adriene Dungee,yes,Canada,New Brunswick,Moncton
175528.0,83575.8,Magda Chilcote,yes,Canada,Quebec,Quebec City
179870.0,66025.75,Inge Brunn,yes,Canada,Quebec,Montreal
181434.0,69916.13,Theodora Mojardin,yes,Canada,Ontario,Toronto
188071.0,80881.52,Daina Rheaume,yes,Canada,New Brunswick,Fredericton
190524.0,84778.02,Angel Mcfarland,yes,Canada,Quebec,Tremblant
191065.0,93541.9,Hang Jamili,yes,Canada,Ontario,Toronto
196757.0,58310.88,Meagan Kovacs,yes,Canada,Ontario,Trenton
198499.0,53342.56999999999,Salome Kapsner,yes,Canada,New Brunswick,Moncton
198499.0,53342.56999999999,Salome Kapsner,yes,Canada,Quebec,Montreal
203772.0,51614.12,Charlyn Brigner,yes,Canada,British Columbia,Dawson Creek
210815.0,82741.65,Martin Poock,yes,Canada,Ontario,Toronto
217054.0,89590.94,Sybil Lerch,yes,Canada,Alberta,Calgary
219139.0,116333.1,Donn Reshid,yes,Canada,Alberta,Banff
228030.0,58753.88,Elana Depaoli,yes,Canada,British Columbia,Vancouver
235683.0,76110.42,Ciera Dyser,yes,Canada,Quebec,Quebec City
247433.0,76460.42,Vickie Whittie,yes,Canada,British Columbia,Whistler
248356.0,60945.0,Loris Mouzas,yes,Canada,British Columbia,Dawson Creek
248497.0,82286.18,Linwood Mckie,yes,Canada,British Columbia,West Vancouver
251641.0,67502.64,Debera Mcaninch,yes,Canada,Alberta,Edmonton
254361.0,66623.49,Tajuana Waterer,yes,Canada,British Columbia,Kelowna
258296.0,105474.75,Veola Kellish,yes,Canada,Quebec,Montreal
268414.0,52692.18,Francina Rokus,yes,Canada,British Columbia,Dawson Creek
272893.0,61232.49,Stasia Aharoni,yes,Canada,Ontario,Kingston
273054.0,69417.74,Genie Beerly,yes,Canada,British Columbia,Vancouver
276648.0,62144.81999999999,Jeanne Speaks,yes,Canada,Alberta,Edmonton
278013.0,70372.52,Siu Boris,yes,Canada,Ontario,Sudbury
278836.0,72536.04000000001,Vernice Dorcelus,yes,Canada,Ontario,Toronto
300371.0,61818.44,Lavonna Lancz,yes,Canada,British Columbia,Vancouver
302460.0,56675.94,Suanne Parraga,yes,Canada,British Columbia,Whistler
302628.0,55277.45,Adrian Cashatt,yes,Canada,Quebec,Tremblant
309456.0,86581.0,Else Caho,yes,Canada,Quebec,Montreal
318595.0,58764.02,Lashonda Briede,yes,Canada,New Brunswick,Fredericton
323821.0,57659.25,Page Pinkelton,yes,Canada,British Columbia,Vancouver
324997.0,50929.64,Hyman Supry,yes,Canada,British Columbia,Vancouver
333051.0,51426.25,Raymond Manwill,yes,Canada,New Brunswick,Moncton
336665.0,77022.45000000001,Angelique Zumot,yes,Canada,Quebec,Montreal
339371.0,51611.02,Gene Christler,yes,Canada,British Columbia,Whistler
339880.0,68487.02,Carroll Bichrest,yes,Canada,Ontario,Sudbury
344232.0,51426.25,Santos Zhao,yes,Canada,Quebec,Tremblant
344527.0,93807.81,Anglea Lands,yes,Canada,Quebec,Montreal
345765.0,125235.03,Sean Fostervold,yes,Canada,Quebec,Montreal
348600.0,50481.67,Long Daudelin,yes,Canada,British Columbia,Whistler
350486.0,65722.52,Annamaria Purdue,yes,Canada,New Brunswick,Fredericton
351296.0,78730.6,Ora Rogian,yes,Canada,Quebec,Montreal
351937.0,69397.92,Carlo Stuebe,yes,Canada,Saskatchewan,Regina
351937.0,69397.92,Carlo Stuebe,yes,Canada,Ontario,Trenton
364710.0,51016.07,Estella Hymes,yes,Canada,Quebec,Tremblant
370486.0,73144.18000000001,Mui Pizzi,yes,Canada,Ontario,Toronto
372647.0,64454.16,Krysten Rosazza,yes,Canada,British Columbia,Dawson Creek
373888.0,68001.56,Kina Holsing,yes,Canada,British Columbia,Vancouver
376484.0,50417.29,Katina Kitz,yes,Canada,Quebec,Montreal
376725.0,76204.56,Millard Brickey,yes,Canada,Quebec,Hull
379281.0,50294.22,Yee Pointer,yes,Canada,Nova Scotia,Halifax
380262.0,66653.91,Tamekia Baumohl,yes,Canada,British Columbia,Vancouver
395324.0,51471.63,Cristin Wommack,yes,Canada,Quebec,Montreal
401824.0,70125.3,Delisa Neilan,yes,Canada,British Columbia,Dawson Creek
402966.0,71075.7,Ray Hooten,yes,Canada,Alberta,Edmonton
411651.0,60602.75,Andres Sapinski,yes,Canada,Quebec,Montreal
415332.0,63841.54,Bella Grey,yes,Canada,Quebec,Montreal
415381.0,65552.52,Johnathon Schwass,yes,Canada,Ontario,Toronto
420202.0,60670.02,Genevive Regnier,yes,Canada,Ontario,Sudbury
424337.0,64618.76,Andrew Hunnings,yes,Canada,Nova Scotia,Halifax
427177.0,125363.7,Marylou Lett,yes,Canada,Quebec,Montreal
430398.0,98847.6,Jaimee Mooe,yes,Canada,Newfoundland,St. John's
434807.0,78057.61,Mica Kightlinger,yes,Canada,Quebec,Montreal
434807.0,78057.61,Mica Kightlinger,yes,Canada,Alberta,Edmonton
435249.0,55552.58,Shantell Karen,yes,Canada,Alberta,Edmonton
440595.0,74487.26,Terrie Lichter,yes,Canada,British Columbia,Vancouver
444092.0,52202.81,Dannette Cureton,yes,Canada,British Columbia,Vancouver
444092.0,52202.81,Dannette Cureton,yes,Canada,Quebec,Tremblant
460673.0,63413.86,Florencio Rakow,yes,Canada,Ontario,Ottawa
462174.0,86053.04,Marlyn Hon,yes,Canada,Quebec,Montreal
467359.0,56864.0,Samara Catano,yes,Canada,Manitoba,Winnipeg
471098.0,119320.98,Azucena Henninger,yes,Canada,Quebec,Montreal
472921.0,68595.41,Mario Mundschenk,yes,Canada,Saskatchewan,Regina
