Loyalty#,누적가치,Customer Name,alert,Country,Province or State,City
100616.0,61850.19,Melodi Choate,yes,Germany,Bayern,Nurnberg
105490.0,51016.07,Donetta Vanmarter,yes,Germany,Nordrhein-Westfalen,Dusseldorf
111281.0,57482.97,Haley Villacorta,yes,Germany,Bayern,Munchen
112844.0,57755.91,Aliza Steman,yes,Germany,Nordrhein-Westfalen,Dortmund
116286.0,59976.61,Dorethea Dieteman,yes,Germany,Niedersachsen,Hannover
122599.0,51058.8,Elene Staberg,yes,Germany,Bayern,Landshut
123333.0,118200.57,Marsha Romas,yes,Germany,Bayern,Munchen
126631.0,73265.06,Oleta Mandler,yes,Germany,Sachsen,Dresden
131380.0,70307.01999999999,Cleopatra Goben,yes,Germany,Nordrhein-Westfalen,Bonn
131380.0,70307.01999999999,Cleopatra Goben,yes,Germany,Sachsen,Dresden
131715.0,51614.12,Aleen Millare,yes,Germany,Bayern,Landshut
137222.0,58013.7,Jessia Mcbratney,yes,Germany,Bayern,Munchen
141884.0,80264.02,Kathey Boelter,yes,Germany,Bayern,Aachen
144184.0,50381.91,Tangela Schank,yes,Germany,Hessen,Frankfurt
145521.0,58120.93,Sung Tarpy,yes,Germany,Bayern,Munchen
145521.0,58120.93,Sung Tarpy,yes,Germany,Bremen,Bremen
145697.0,58654.74,Hayley Armada,yes,Germany,Baden-Wurttemberg,Mannheim
145697.0,58654.74,Hayley Armada,yes,Germany,Sachsen,Dresden
153379.0,62443.5,Marica Centini,yes,Germany,Sachsen-Anhalt,Magdeburg
155994.0,52035.45,Ophelia Baab,yes,Germany,Rheinland-Pfalz,Mainz
155994.0,52035.45,Ophelia Baab,yes,Germany,Sachsen,Dresden
159275.0,71710.03,Marina Nieder,yes,Germany,Sachsen-Anhalt,Magdeburg
161792.0,76821.2,Ayanna Enick,yes,Germany,Hamburg,Hamburg
163589.0,64771.31999999999,Otelia Lafera,yes,Germany,Baden-Wurttemberg,Leonberg
169035.0,77775.8,Alesia Malling,yes,Germany,Sachsen,Dresden
169887.0,68180.08,Page Hockman,yes,Germany,Niedersachsen,Hannover
172982.0,100420.05,Fred Wirth,yes,Germany,Saarland,Saarbrucken
177390.0,72776.13,Sha Newborn,yes,Germany,Hessen,Frankfurt
181434.0,69916.13,Theodora Mojardin,yes,Germany,Sachsen-Anhalt,Magdeburg
181434.0,69916.13,Theodora Mojardin,yes,Germany,Hamburg,Hamburg
181987.0,55875.5,Tiffani Favuzza,yes,Germany,Bremen,Bremen
185546.0,51671.67,Seema Deschner,yes,Germany,Nordrhein-Westfalen,Koln
188306.0,54031.41,Michaela Reaux,yes,Germany,Berlin,Berlin
188786.0,81273.34,Martine Mancuso,yes,Germany,Mecklenburg-Vorpommern,Schwerin
190879.0,58753.88,Ronna Furbeck,yes,Germany,Bayern,Landshut
196219.0,71679.9,Jeromy Shepler,yes,Germany,Hessen,Frankfurt
197558.0,76891.72,Hattie Sessions,yes,Germany,Bayern,Munchen
198114.0,61437.62,Geneva Yocham,yes,Germany,Hamburg,Hamburg
198674.0,61718.72,Luis Meisner,yes,Germany,Sachsen-Anhalt,Magdeburg
202080.0,77106.33,Norman Kerslake,yes,Germany,Hessen,Frankfurt
208000.0,91417.3,Peter Monsour,yes,Germany,Hessen,Frankfurt
219952.0,58015.59,Christopher Mccomb,yes,Germany,Hessen,Frankfurt
220754.0,58166.55,Nettie Sauser,yes,Germany,Bayern,Munchen
221321.0,55424.13,Floria Ellebrecht,yes,Germany,Berlin,Berlin
227639.0,60009.42,Mariette Elroy,yes,Germany,Nordrhein-Westfalen,Bonn
227841.0,72458.82,Beatris Mondesir,yes,Germany,Hamburg,Hamburg
230366.0,108505.02,Malisa Kestle,yes,Germany,Bayern,Munchen
235843.0,56786.66,Jacquiline Yonge,yes,Germany,Bayern,Munchen
239315.0,52925.52,Cori Hospelhorn,yes,Germany,Baden-Wurttemberg,Leonberg
242160.0,116414.26,Patria Willhelm,yes,Germany,Nordrhein-Westfalen,Dusseldorf
245293.0,64900.78,Enrique Intrabartolo,yes,Germany,Mecklenburg-Vorpommern,Solingen
246230.0,65354.68,Estrella Mckellar,yes,Germany,Hamburg,Hamburg
