Loyalty#,누적가치,Customer Name,alert,Country,Province or State,City
100823.0,122269.36,Keturah Haas,yes,United Kingdom,Greater London,London
108570.0,60290.67,Carlota Boisjolie,yes,United Kingdom,Reading,Robindale Avenue
112844.0,57755.91,Aliza Steman,yes,United Kingdom,West Midlands,Birmingham
121294.0,64539.7,Serafina Alf,yes,United Kingdom,Oxfordshire,Oxford
122599.0,51058.8,Elene Staberg,yes,United Kingdom,Greater London,London
131920.0,51016.07,Katia Masar,yes,United Kingdom,Reading,Robindale Avenue
132421.0,51510.56,Gwenn Latty,yes,United Kingdom,Oxfordshire,Oxford
139466.0,64618.76,Rosette Matthees,yes,United Kingdom,Greater London,London
146887.0,64042.8,Zackary Ebenstein,yes,United Kingdom,Greater London,London
151707.0,72414.18000000001,Elissa Sauchez,yes,United Kingdom,Reading,Back Lane
152424.0,67907.27,Berta Lanuza,yes,United Kingdom,Greater London,London
152754.0,127167.03,Luanna Hazelett,yes,United Kingdom,Reading,Robindale Avenue
160377.0,55891.78,Christen Winek,yes,United Kingdom,Brighton and Hove,Eley Drive
163815.0,128812.05,Buck Kwaterski,yes,United Kingdom,Greater London,London
169270.0,52607.15,Tonisha Krail,yes,United Kingdom,Brighton and Hove,Maldon Road
173253.0,82150.86,Keturah Seaver,yes,United Kingdom,Bristol,The Crescent
179151.0,57520.5,Leon Kadow,yes,United Kingdom,Greater London,London
180869.0,106677.0,Marnie Smull,yes,United Kingdom,West Midlands,Birmingham
180869.0,106677.0,Marnie Smull,yes,United Kingdom,Oxfordshire,Oxford
181943.0,56972.14,Shila Heick,yes,United Kingdom,Greater London,London
188306.0,54031.41,Michaela Reaux,yes,United Kingdom,West Midlands,Birmingham
192271.0,58388.74,Olga Gruse,yes,United Kingdom,Oxfordshire,Oxford
193336.0,82330.41,Corey Ruther,yes,United Kingdom,Greater London,London
195052.0,69222.76,Beth Auer,yes,United Kingdom,Oxfordshire,Oxford
197481.0,63413.86,Shawnta Meador,yes,United Kingdom,Hampshire,Southampton
199950.0,52590.12,Rosamond Oregel,yes,United Kingdom,Greater London,London
200734.0,52246.75,Ilana Lagassie,yes,United Kingdom,Greater London,London
202080.0,77106.33,Norman Kerslake,yes,United Kingdom,West Midlands,Birmingham
202582.0,88236.87,Evelyn Mignogna,yes,United Kingdom,Shropshire,Telford
210798.0,70372.52,Treasa Durrani,yes,United Kingdom,Hampshire,Southampton
222399.0,67975.62,Stacy Gehlert,yes,United Kingdom,Shropshire,Telford
230807.0,72940.6,Lakendra Moller,yes,United Kingdom,Shropshire,Telford
238009.0,56871.28,Angeles Jaquins,yes,United Kingdom,Brighton and Hove,Eley Drive
240717.0,165832.34999999998,Jimmie Servantes,yes,United Kingdom,Reading,Woodwaye
251685.0,50025.28,Genaro Zerbel,yes,United Kingdom,Greater London,London
254984.0,70663.17,Rupert Volbrecht,yes,United Kingdom,Reading,Stuart Close
256356.0,54651.65,Slyvia Luhn,yes,United Kingdom,Reading,Robindale Avenue
256356.0,54651.65,Slyvia Luhn,yes,United Kingdom,Brighton and Hove,Eley Drive
258296.0,105474.75,Veola Kellish,yes,United Kingdom,Greater London,London
261946.0,128893.67,Brent Terwillegar,yes,United Kingdom,Bristol,The Crescent
261966.0,98175.9,Juliana Nulisch,yes,United Kingdom,Greater London,London
263624.0,52394.82,Floretta Sirnio,yes,United Kingdom,Reading,Robindale Avenue
265746.0,174621.38999999998,Sara Milin,yes,United Kingdom,West Midlands,Birmingham
267795.0,102852.5,Veola Ishibashi,yes,United Kingdom,West Midlands,Birmingham
269729.0,115041.0,Arthur Batis,yes,United Kingdom,Buckinghamshire,Milton Keynes
270259.0,132051.5,Wendie Eytcheson,yes,United Kingdom,West Midlands,Birmingham
270800.0,125565.51,Miquel Ostaba,yes,United Kingdom,West Midlands,Birmingham
273923.0,59353.62,Janae Olivarri,yes,United Kingdom,West Midlands,Birmingham
280672.0,64634.06,Juliana Erskin,yes,United Kingdom,Greater London,London
285163.0,94311.26,Shonta Pezzetti,yes,United Kingdom,Brighton and Hove,Eley Drive
289841.0,58753.88,Arline Schnepel,yes,United Kingdom,Brighton and Hove,Bear Road
291085.0,78730.6,Harriet Pavel,yes,United Kingdom,Bristol,Lower Cheltenham Place
295265.0,64618.76,Samatha Yago,yes,United Kingdom,Buckinghamshire,Milton Keynes
296521.0,81273.34,Hortensia Walth,yes,United Kingdom,Bristol,The Crescent
